Date,Open,High,Low,Close,Adj Close,Volume
2007-02-01,17.565001,17.709999,15.120000,30.900000,13.873664,389013200
2007-03-01,15.100000,16.225000,14.430000,31.360001,14.080200,555995600
2007-04-01,15.770000,16.150000,15.150000,31.020000,13.927542,353030400
2007-05-01,15.580000,15.950000,14.015000,28.809999,12.935285,649586200
2007-06-01,14.400000,14.575000,12.610000,26.240000,11.781392,698635800
2007-07-01,13.200000,14.250000,12.815000,26.680000,11.978944,659410600
2007-08-01,13.255000,14.300000,13.015000,27.549999,12.369561,553500800
2007-09-01,13.835000,14.095000,12.975000,26.200001,11.763432,380038600
2007-10-01,13.135000,13.460000,12.815000,26.680000,11.978944,406501200
2007-11-01,13.200000,13.340000,10.885000,23.389999,10.501781,822870400
2007-12-01,11.615000,11.715000,9.945000,20.469999,9.190740,462595000
2008-01-01,10.070000,10.505000,8.830000,18.910000,8.490324,942918800
2008-02-01,9.485000,9.675000,8.875000,17.980000,8.072766,503130400
2008-03-01,9.010000,9.250000,8.385000,17.500000,7.857253,594697400
